example_id                                                     | status  | run_time        |
./spec/models/wizard/steps/country_of_origin_spec.rb[1:1:1:1]  | passed  | 0.00035 seconds |
./spec/models/wizard/steps/country_of_origin_spec.rb[1:1:1:2]  | passed  | 0.00063 seconds |
./spec/models/wizard/steps/country_of_origin_spec.rb[1:1:2:1]  | passed  | 0.0003 seconds  |
./spec/models/wizard/steps/country_of_origin_spec.rb[1:1:2:2]  | passed  | 0.00029 seconds |
./spec/models/wizard/steps/country_of_origin_spec.rb[1:2:1]    | passed  | 0.00037 seconds |
./spec/models/wizard/steps/country_of_origin_spec.rb[1:3:1]    | passed  | 0.00033 seconds |
./spec/models/wizard/steps/country_of_origin_spec.rb[1:4:1:1]  | passed  | 0.0003 seconds  |
./spec/models/wizard/steps/customs_value_spec.rb[1:1:1:1]      | passed  | 0.00042 seconds |
./spec/models/wizard/steps/customs_value_spec.rb[1:1:1:2]      | passed  | 0.00117 seconds |
./spec/models/wizard/steps/customs_value_spec.rb[1:1:2:1]      | passed  | 0.00034 seconds |
./spec/models/wizard/steps/customs_value_spec.rb[1:1:2:2]      | passed  | 0.00063 seconds |
./spec/models/wizard/steps/customs_value_spec.rb[1:1:3:1]      | passed  | 0.00028 seconds |
./spec/models/wizard/steps/customs_value_spec.rb[1:1:3:2]      | passed  | 0.00055 seconds |
./spec/models/wizard/steps/customs_value_spec.rb[1:1:4:1]      | passed  | 0.0003 seconds  |
./spec/models/wizard/steps/customs_value_spec.rb[1:1:5:1]      | passed  | 0.00048 seconds |
./spec/models/wizard/steps/customs_value_spec.rb[1:1:5:2]      | passed  | 0.00072 seconds |
./spec/models/wizard/steps/customs_value_spec.rb[1:1:6:1]      | passed  | 0.00048 seconds |
./spec/models/wizard/steps/customs_value_spec.rb[1:1:6:2]      | passed  | 0.00079 seconds |
./spec/models/wizard/steps/customs_value_spec.rb[1:1:7:1]      | passed  | 0.00034 seconds |
./spec/models/wizard/steps/customs_value_spec.rb[1:1:8:1]      | passed  | 0.00035 seconds |
./spec/models/wizard/steps/customs_value_spec.rb[1:1:8:2]      | passed  | 0.00066 seconds |
./spec/models/wizard/steps/customs_value_spec.rb[1:1:9:1]      | passed  | 0.00033 seconds |
./spec/models/wizard/steps/customs_value_spec.rb[1:1:9:2]      | passed  | 0.00065 seconds |
./spec/models/wizard/steps/customs_value_spec.rb[1:2:1]        | passed  | 0.00026 seconds |
./spec/models/wizard/steps/customs_value_spec.rb[1:2:2]        | passed  | 0.00024 seconds |
./spec/models/wizard/steps/customs_value_spec.rb[1:2:3]        | passed  | 0.00023 seconds |
./spec/models/wizard/steps/customs_value_spec.rb[1:3:1]        | passed  | 0.00034 seconds |
./spec/models/wizard/steps/customs_value_spec.rb[1:4:1]        | pending | 0.00001 seconds |
./spec/models/wizard/steps/final_use_spec.rb[1:1:1:1]          | passed  | 0.00028 seconds |
./spec/models/wizard/steps/final_use_spec.rb[1:1:1:2]          | passed  | 0.00078 seconds |
./spec/models/wizard/steps/final_use_spec.rb[1:1:2:1]          | passed  | 0.00024 seconds |
./spec/models/wizard/steps/final_use_spec.rb[1:1:2:2]          | passed  | 0.00035 seconds |
./spec/models/wizard/steps/final_use_spec.rb[1:2:1]            | passed  | 0.00022 seconds |
./spec/models/wizard/steps/final_use_spec.rb[1:3:1]            | pending | 0.00001 seconds |
./spec/models/wizard/steps/final_use_spec.rb[1:4:1:1]          | passed  | 0.00034 seconds |
./spec/models/wizard/steps/import_date_spec.rb[1:1:1:1]        | passed  | 0.00028 seconds |
./spec/models/wizard/steps/import_date_spec.rb[1:1:1:2]        | passed  | 0.00064 seconds |
./spec/models/wizard/steps/import_date_spec.rb[1:1:2:1]        | passed  | 0.00026 seconds |
./spec/models/wizard/steps/import_date_spec.rb[1:1:2:2]        | passed  | 0.00067 seconds |
./spec/models/wizard/steps/import_date_spec.rb[1:1:3:1]        | passed  | 0.00045 seconds |
./spec/models/wizard/steps/import_date_spec.rb[1:1:3:2]        | passed  | 0.00072 seconds |
./spec/models/wizard/steps/import_date_spec.rb[1:1:4:1]        | passed  | 0.00097 seconds |
./spec/models/wizard/steps/import_date_spec.rb[1:1:4:2]        | passed  | 0.00063 seconds |
./spec/models/wizard/steps/import_date_spec.rb[1:1:5:1]        | passed  | 0.00029 seconds |
./spec/models/wizard/steps/import_date_spec.rb[1:1:5:2]        | passed  | 0.00066 seconds |
./spec/models/wizard/steps/import_date_spec.rb[1:1:6:1]        | passed  | 0.00058 seconds |
./spec/models/wizard/steps/import_date_spec.rb[1:1:6:2]        | passed  | 0.00044 seconds |
./spec/models/wizard/steps/import_date_spec.rb[1:2:1]          | passed  | 0.00046 seconds |
./spec/models/wizard/steps/import_date_spec.rb[1:3:1]          | passed  | 0.00045 seconds |
./spec/models/wizard/steps/import_destination_spec.rb[1:1:1:1] | passed  | 0.00024 seconds |
./spec/models/wizard/steps/import_destination_spec.rb[1:1:1:2] | passed  | 0.0006 seconds  |
./spec/models/wizard/steps/import_destination_spec.rb[1:1:2:1] | passed  | 0.00036 seconds |
./spec/models/wizard/steps/import_destination_spec.rb[1:1:2:2] | passed  | 0.00058 seconds |
./spec/models/wizard/steps/import_destination_spec.rb[1:2:1]   | passed  | 0.00441 seconds |
./spec/models/wizard/steps/import_destination_spec.rb[1:3:1]   | passed  | 0.00046 seconds |
./spec/models/wizard/steps/import_destination_spec.rb[1:4:1]   | passed  | 0.0003 seconds  |
